HTX	hợp tác xã
CKQT	cửa khẩu quốc tế
PCMT	phòng chống ma tuý
NX	nhận xét
PMH	phiếu mua hàng
KCNC	khu công nghệ cao
HTXNN	hợp tác xã nông nghiệp
CBTT	công bố thông tin
TPDN	trái phiếu doanh nghiệp
TCTN	trợ cấp thất nghiệp
NDCM	nhân dân cách mạng
HMTN	hiến máu tình nguyện
PCTHTL	phòng chống tác hại thuốc lá
CHKQT	cảng hàng không quốc tế
GDCD	giáo dục công dân
LHPNVN	liên hiệp phụ nữ Việt Nam
LNTT	lợi nhuận trước thuế
QTDND	quỹ tín dụng nhân dân
DVMTR	dịch vụ môi trường rừng
CTRL	control
PKL	phân khối lớn
QSMT	quay số mở thưởng
THADS	thi hành án dân sự
SGGPO	Sài Gòn giải phóng
VSATTP	vệ sinh an toàn thực phẩm
ANTV	an ninh ti vi
ANND	an ninh nhân dân
NSUT	nghệ sĩ ưu tú
ANTG	an ninh thế giới
UTGT	ùn tắc giao thông
VAC	vườn ao chuồng
QPAN	quốc phòng an ninh
CATW	công an trung ương
UBDT	Uỷ ban Dân tộc
ANQG	an ninh quốc gia
