VinGroup	vin_g_rúp
M&M's	em_èn_em
MacCoffee	mắc_cóp_phi
Maggi	ma_gi
MailChimp	meo_chim_p
Mamamy	ma_ma_mi
Manchester United	man_chét_x_tơ iu_nai_tựt
Manulife	men_nu_lai_ph
Marlboro	ma_bô_rô
Marvela	ma_ve_la
Maximark	mắc_xi_mắc
MAZDA	mát_da
McDonald's	mắc_đô_nan
Mead Johnson	mít giôn_xơn
Megastar	me_ga_x_ta
Mentos	men_tốt_x
Mercedes	méc_xê_đéc
Merino	me_ri_nô
Metro	mê_trô
Mikochi	mi_cô_chi
Miliket	mi_li_két
Milo	mi_lô
Mirinda	mi_rin_đa
Mitsubishi	mít_xu_bi_si
Mobiistar	mô_bi_x_ta
NAN Kid	nan kít
Neptune	nép_tuyn
Nescafe	nét_x_cà_phê
Nestea	nét_x_ti
Netflix	nét_ph_lích_x
Nike	nai_ki
Nikon	ni_côn
Nippon	níp_pông
NISSAN	nít_xan
Nissin	nít_xin
Nivea	ni_vê_a
Number 1	năm_bờ oan
Number One	năm_bờ oan
Nutifood	nu_ti_phút
Nutriboost	nu_tri_bút
Ohui	ô_uầy
Olay	ô_lay
Omachi	ô_ma_chi
Omo	ô_mô
Oppo	óp_pồ
Oral-B	ô_ran-bi
Oreo	ô_re_ô
Oriflame	o_ri_ph_lêm
P/S	pê_et
Pampers	pam_pơ_x
Panadol	pa_na_đôn
Panasonic	pa_na_xô_ních
Pantene	pen_tin
Pepsi	pép_si
Petrolimex	pê_trô_li_mếch
Peugeot	pơ_giô
Philips	phi_líp_x
PhinDeli	phin_đê_li
Piaggio	pi_a_giô
Pinaco	pi_na_cô
Pizza Hut	pi_da hút
Poca	pô_ca
Pond's	pôn
Pond's Men	pôn men
Porsche	po_sờ
Prôvence	p_rô_ven_x
Pringles	p_rinh_gờ_x
Prudential	p_ru_đen_xồ
Puma	pu_ma
Pushmax	pút_s_ma_x
Ramus	ra_mút
Red Bull	rét bun
Rei	rây
Rejoice	rì_gioi
Remy Martin	re_mi mác_tin
Revive	ri_vai
Rexona	re_xo_na
Ridielac	ri_đi_e_lắc
Riot	rai_ớt
Rolls & Royce	rôn_x en roi_x
Romano	rô_ma_nô
Royale	roi_àu
S-fone	ét_x-phôn
Samsonite	xem_xờ_nai_th
Samsung	sam_sung
Samurai	xa_mu_rai
Sapporo	xáp_pô_rro
Sapuwa	xáp_pu_oa
Sharp	sáp
Shell	seo
Shiseido	si_xi_đo
Similac	xi_mi_lắc
Singapore Airlines	xinh_ga_po e_lai_x
Smirnoff	x_mi_nóp_ph
Sony	xô_ni
Spotify	x_po_ti_phai
Sprite	x_p_rai
Standard Chartered	x_ten_đớt chác_t_rờ
Starbucks	x_ta_bấc_x
State Street Global Advisors	x_tết x_t_rít g_lô_ban ất_vai_giờ
Stayfree	x_tây ph_ri
Sting	xờ_tinh
Subway	xắp_uây
Sun House	xan hau_x
Sunlight	xan_lai_t
Sunsilk	xan_xiu
Surf	xớp
Suzuki	xu_giu_ki
TAC Victoria	tác víc_to_ri_a
Tea Plus	ti p_lớt_x
Tesla	tét_x_la
TH True Milk	tê_hát tru_miu
The Body Shop	dờ bo_đi sóp
The Clean Shop	dơ cờ_lin sóp
The Coffee Bean & Tea Leaf	giơ cóp_phi bin en ti líp_ph
The Terminal Coffee	giờ téc_mi_nồ cóp_phi
Thorakao	tho_ra_cao
Tide	thai_đ
Tiger	thai_gơ
Tiki	tít_ki
Toppo	tóp_pô
Toshiba	tô_si_ba
Total	tô_tan
Tous les Jours	tíu_x lét gioi_x
Toyota	tô_y_ô_ta
Traphaco	tra_pha_cô
TRESemmé	tre_xem_mi
Tribeco	tri_be_cô
Twister	tuýt_x_tơ
Twitter	tuýt_tơ
Uber	u_bơ
Uniqlo	y_iu_ni_cờ_lâu
Vascara	va_x_ca_ra
Vaseline	va_giơ_lin
Vedan	vê_đan
Vertu	vơ_tu
Vfresh	vê_ph_rét_s
Viber	vai_bơ
Vichy	vi_chi
Vietnamworks	việt_nam_uốc
Vietravel	việt_tre_vồ
Vifon	vi_phông
Vim	vim
Vinamit	vi_na_mít
Vinasoy	vi_na_xoi
Viso	vi_xô
Vivo	vi_vô
Vodafone	vô_đa_phôn
Volkswagen	vốt_x_oa_đừn
Volvo	von_vô
VP Bank	vi_pi banh
Wall’s	oan_x
Walmart	goa_mớt
Walt Disney	goan đíc_x_nây
Wonderfarm	uôn_đơ_pham
X-Men	ích-men
x-quang	ích_x_quang
Xiaomi	xi_ao_mi
Yahoo	i_a_hu
Yamaha	i_a_ma_ha
Yomost	i_ô_mốt
YouTube	iu_túp
Zalo	gia_lô
Zara	da_ra
Zing	ginh
Site	xai_tờ
Microsoft	mai_cờ_rô_sóp
Facebook	phây_x_búc
Disney	đít_x_nây
AT&T	ây_ti_en_ti
Intel	in_theo
Cisco	xít_x_câu
GE	gi_i
Mercedes-Benz	méc_xê_đéc-ben_x
Oracle	o_rơ_cồ
Verizon	vơ_rai_dừn
SAP	ét_a_pê
Visa	vi_da
American Express	ơ_me_ri_cừn ếch_x_p_rét_x
Home Depot	hôm đi_pót
Hermès	hơ_mít_x
Accenture	ếch_xen_trờ
Gillette	gi_lét
Frito-Lay	ph_ri_tô-lây
Wells Fargo	oeo pha_gâu
Mastercard	mát_x_tơ_các
Siemens	xi_mừn_x
CVS	xi_vi_ét_x
ESPN	y_ét_x_pi_en
Nestle	nét_x_li
UPS	u_pê_ét
J.P. Morgan	giây_pi mo_gừn
Deloitte	đờ_loi
Fox	phoóc_x
Chase	chây_x
Bank of America	banh óp a_me_ri_ca
Citi	xi_ti
Cartier	ca_đi_ờ
Adobe	ơ_đốp
PwC	pi_đắp_bơ_y_iu_xi
T-Mobile	tê-mô_bai
Lowe's	lâu_x
Santander	xen_ten_đờ
Danone	đờ_nôn
PayPal	pây_peo
Rolex	rô_lếch_x
Chanel	trờ_neo
Goldman Sachs	gôn_mần xéc_x
Costco	cót_x_câu
Caterpillar	ca_tơ_pi_lơ
RBC	a_bi_xi
Allianz	a_li_ừn
Hewlett-Packard Enterprise	hiu_lét-pác_các en_tơ_p_rai_x
John Deere	gion đia_ơ
BASF	bi_ây_ét_x_ép
Kellogg's	keo_lốc_x
Amazon.com	a_ma_dôn_chấm_com
NVIDIA	en_vi_đi_a
Salesforce.com	xêu_phót_chấm_com
ServiceNow	xơ_vít_x_nao
Square	x_que
Analog Devices	a_na_lốc đì_vai_x
Palo Alto Networks	pa_lô an_tô nét_uốc_x
Splunk	x_p_lăng
Adobe Systems	a_đô_bi xít_x_tầm
Broadcom	b_roát_com
Leidos	lây_đót_x
ON Semiconductor Corp.	on xe_mi_con_đắc_tơ co_r_p
Match Group	ma_tr g_rúp
Tech Mahindra	tếch ma_hin_đ_ra
Workday	guốc_đây
Charter Communications	chát_tơ com_miu_ni_cây_sừn_x
Tencent Holdings	ten_xen hâu_đinh_x
Micron Technology	mi_cờ_ron tếch_nô_lô_gi
SK Hynix	ét_x_ca hi_ních_x
Arista Networks	a_rít_x_ta nét_uốc_x
Baidu	bai_đu
Catcher Technology	cát_chơ tếch_nô_lô_gi
Constellation Software	con_x_teo_lây_sừn xóp_oe
Hikvision	hích_vi_dừn
Tokyo Electron	tô_ki_ô ê_lếch_tron
ASML Holding	ây_ét_x_em_meo hâu_đinh
Dassault Systemes	đa_xô xít_x_tem
Focus Media Information Technology	phâu_cớt_x mê_đi_a in_phom_mây_sừn tếch_nô_lô_gi
Infineon Technologies	in_phi_nê_on tếch_nô_lô_gi_x
Keyence	ke_en_x
Naver	na_vơ
Unisplendour	u_nít_x_p_len_đơ
VMware	vê_mờ_oe
Worldpay	uôn_pây
CDW	xê_đê_đáp_b_liu
Dell Technologies	đeo tếch_nô_lô_gi
Nokia	nô_ki_a
Sunny Optical Technology Group	xăn_ni óp_ti_cồ tếch_nô_lô_gi g_rúp
Infosys	in_phô_xít_x
Intuit	in_tút
JD.com	gi_đê_chấm_com
NEXON	nếch_xon
Red Hat	rét hát
Samsung SDS	xam_xung ét_x_đê_ét_x
AAC Technologies Holdings	a_a_xê tếch_nô_lô_gi_x hâu_đinh_x
Alphabet	an_pha_bét
Discovery Communications	đít_x_co_vơ_ri com_miu_ni_cây_sừn_x
IPG Photonics	i_pê_gờ phô_tô_ních_x
Lam Research	lam ri_xớt
Vipshop Holdings	víp_sóp hâu_đinh_x
Comcast	com_cát_x
Fortive	pho_típ
Jabil Circuit	gia_bin xơ_cớt
Sanan Optoelectronics	xa_nan óp_tô_ê_lếch_trô_ních_x
Taiwan Semiconductor	tai_oan xê_mi_con_đắc_tờ
TDK	tê_đê_ca
VeriSign	ve_ri xai
Adyen	át_y_en
Amphenol	am_phê_nôn
BOE Technology Group	bi_âu_i tếch_nô_lô_gi g_rúp
HCL Technologies	hát_xê_lờ tếch_nô_lô_gi_x
Pinduoduo	pin_đu_ô_đu_ô
Spotify Technology	x_pót_ti_phai tếch_nô_lô_gi
Zalando	da_lan_đô
Applied Materials	ấp_p_lai mơ_tê_ri_ồ_x
Microchip Technology	mai_cờ_rô_chíp tếch_nô_lô_gi
Nanya Technology	nan_y_a tếch_nô_lô_gi
Sky	x_cai
TCL Corp	tê_xê_lờ cóp
ATOS	a_tót_x
Murata Manufacturing	mu_ra_ta men_niu_phách_trờ_rinh
Naspers	nát_x_pơ_x
NXP Semiconductors	en_ích_x_pi xê_mi_con_đắc_tờ_x
STMicroelectronics	ét_x_ti_mai_cờ_rô_ê_lếch_trô_ních_x
Advanced Micro Devices	ất_van_x mi_cờ_rô đi_vai_x
Cognizant	coóc_ni_dừn
DISH Network	đít_s nét_uốc
Inventec	in_ven_tếc
MediaTek	mê_đi_a_tếch
NetApp	nét_áp
NetEase	nét_i_x
Qualcomm	quan_com
Samsung Electronics	xam_xung ê_lếch_trô_ních_x
Seagate Technology	xi_ghết tếch_nô_lô_gi
Skyworks Solutions	x_cai_uốc_x xô_lu_sừn_x
Check Point Software	chếch poi xóp_oe
Cisco Systems	xít_x_cô xít_x_tầm
Hewlett Packard Enterprise	hiu_lét pác_các en_tơ_p_rai_x
LARGAN Precision	la_gan p_re_xi_sừn
Berkshire Hathaway	bớc_sai ha_tha_uây
Industrial and Commercial Bank of China	in_đớt_x_tri_ồ en com_mơ_sồ banh ợp chai_nờ
China Construction Bank	chai_nờ con_x_trắc_sừn banh
Wikipedia	uy_ki_pê_đi_a
Agricultural Bank of China	a_g_ri_căn_trờ banh ợp chai_nờ
The Home Depot	dơ hôm đi_pót
Marriott International	me_ri_ớt in_tơ_na_sừn_nồ
McDonalds	mấc_đô_nan
ExxonMobil	ếch_xon_mô_bin
SyncForce Client	xin_phót_x cờ_lai_ừn
Bank of China	banh ợp chai_nờ
Hilton Hotels & Resorts	hin_tơn hô_theo en rì_xọt
Adidas Group	a_di_đát g_rúp
Lays	lây
Citibank	xi_ti_banh
Boeing	bô_ing
United Health Group	iu_nai_tựt heo g_rúp
ADP	a_đê_pê
CVS Health	xê_vê_ét_x heo
Hersheys	hơ_sây_x
Hershey's	hơ_sây_x
Canon	ca_nông
General Electric	gie_nơ_rồ ê_lếch_trích
Alibaba Group	a_li_ba_ba g_rúp
Nestlé	nét_x_t_lê
Emirates	e_mi_rết_x
Lowes	lâu_x
3M	ba_mờ
Salesforce	xêu_x_phót_x
Johnson and Johnson	giôn_xơn en giôn_xơn
ING	inh
Target	ta_ghét
Booking.com	búc_kinh_chấm_com
U.S. Bank	u_ét_x banh
Eli Lilly	e_li li_li
Tencent	ten_xen
Nescafé	nét_x_cà_phê
JPMorgan Chase & Co.	gi_pê_mo_gan chây_x và cô
USPS	u_ét_x_pê_ét_x
Procter & Gamble	p_róc_tơ và gam_bồ
BP	bê_pê
Instagram	in_x_ta_g_ram
Xfinity	ích_x_phi_ni_ti
SyncForce Customer	xin_phót_x cớt_x_từm_mơ
Hotels.com	hô_theo_x_chấm_com
Volvo Cars	vôn_vô ca_x
GoDaddy.com	gâu_đát_đi_chấm_com
Hewlett-Packard	hiu_lét-pách_cát
McDonald’s	mấc_đô_nan
7-Eleven	xe_vừn-i_le_vừn
Playstation	p_lây_x_tây_sừn
Cadbury	cát_bu_ri
Epson	ép_xơn
Uni-president	iu_ni-p_re_di_đừn
DHL	đê_hát_lờ
Meiji	mê_gi
Darlie	đa_li
Michelin	mi_che_lin
Nintendo	nin_ten_đô
Häagen-Dazs	ha_ghen-đát_x
Bridgestone	b_rai_x_tôn
L’Oréal	lo_rê_an
Air Asia	e_ây_giờ
Watsons	oát_xơn_x
Christian Dior	cờ_rít_ti_an đi_ô
Pocari Sweat	pô_ca_ri x_oét
Kao	cao
Ferrero Rocher	phe_re_rô rô_chơ
Singapore	sing_ga_po
MasterKong	mát_x_tơ công
Gatorade	ga_to_rết
Daikin	đai_kin
SK-II	ét_x_ca-hai
Wrigley’s Arrow	g_rích_li_x a_râu
Sanyo	xan_ni_ô
Amul	a_mun
Lancomé	lan_côm
Seiko	xê_cô
Casio	ca_xi_ô
Xbox	ích_x_bóc_x
Tesco	tét_x_cô
NTUC FairPrice	en_ti_iu_xi phe_p_rai_x
Whirlpool	uyn_pun
HTC	hát_tê_xê
Hilton	hin_tơn 
Cathay Pacific	ca_thay pa_xi_phích
Sony Ericsson	xô_ni e_ríc_xon
100 Plus	oăn_hăn_đ_rớt p_lớt_x
Morinaga	mo_ri_na_ga
Breeze	b_ri_dờ
Caltex	can_tếch_x
Esso	ét_xô
Johnson & Johnson	giôn_xơn en giôn_xơn
Kingfisher	kinh_phít_sơ
Fujitsu	phu_gít_xư
Guardian	ga_đi_ừn
Baskin Robbins	bát_x_kin róp_bin_x
Omega	ô_mê_ga
Louis Vuitton (LV)	lu_i_x vút_tông (lờ_vê)
Coles	câu_x
Lee Kum Kee	li cum ki
Reebok	ri_búc
Lay’s	lây_x
Marigold	ma_ri_gốt
Harley Davidson	ha_li đa_vít_xơn
Goodyear	gút_ia
Quaker	quếch_cơ
Jetstar	dét_x_ta
Thai Airways	thái e_uây_x
JVC	gi_vê_xê
Prudential (UK)	p_ru_đen_sồ (iu_cây)
Maxims	mắc_xim
Lion	lai_ừn
Olympus	ô_lim_pút_x
Extra	ếch_x_tra
Suntory	xăn_to_ri
Garnier	gác_ni_ê
Virgin	vi_gin
Palmolive	pan_mô_líp
Mamy Poko	ma_mi pô_cô
Dettol	đét_tôn
Estée Lauder	ét_x_te lau_đờ
Clinique	cờ_lin_ni_kê
Mengniu	meng_niu
Lindt	lin
Hershey’s	hơ_sây_x
Malaysia Airlines	ma_lai_xi_a e_lai_x
Tropicana	tróp_pi_ca_na
Pond’s	pon
BATA	ba_ta
Carrefour	ca_rê_pho
Tsingtao	t_xinh_tao
Maybank	mây_banh
Kirin	ki_rin
Kookmin Bank (KB)	cúc_min banh (cây_bi)
Dunlop	đăn_lốp
Tiger Airways	tai_gơ e_uây
Swensen’s	x_oen_xừn_x
Pedigree	pe_đi_g_ri
Wei Chuan	uây chuân
China Mobile	chi_na mô_bai
Big Bazaar	bích ba_da
Dove (Chocolate)	đô_v (sô_cô_la)
Mama	ma_ma
CPC (Taiwan)	xê_pê_xê (tai_oan)
Bing	binh
ANA	a_nờ_a
Tiffany & Co.	típ_phan_ni en cô
Minute Maid	mi_nít mết
Tiger Beer	tai_gơ bia
Singtel	xinh_teo
Korean Air	co_re_an e
NTT	nờ_tê_tê
Qantas	can_tát_x
Nongshim	nong_sim
Ralph Lauren	ráp_ph lau_ren
Siam Commercial Bank	xi_am com_mơ_xơ banh
Asiana	a_xi_a_na
Park n shop	pác en sóp
Seoul Milk	xơ_un miu
G2000	gờ_hai_nghìn
SK Telecom	ét_ca tê_lê_côm
Dunhill	đăn_hiu
Shinhan bank	sin_han banh
Kuroneko Yamato	cu_ro_nê_cô y_a_ma_tô
DBS	đê_bê_ét_x
Pioneer	pi_ô_nia
ICICI Bank	i_xi_xi banh
State Bank of India (SBI)	xờ_tết banh kợp in_đi_a (ét_x_bi_ai)
Telstra	teo_x_tra
Citizen	xi_ti_den
Dumex	đu_mếch_x
Airtel	e_ten
Sinopec	xi_nô_pếch
Asahi	a_xa_hi
PTT	pê_tê_tê
Coffee Bean	cóp_phi bin
Mos Burger	mốt_x bơ_gơ
China Airlines	chai_nờ e_lai_x
NEC	nờ_e_xê
Sunkist	xăn_kít
KTF	ca_tê_ép_ph
Japan Airlines (JAL)	gia_pan e_lai_x (gi_ây_eo)
China Trust	chai_nờ trớt_x
Woolworths	un_uốt_x
Shangri-La	sang_ri-la
Yili	i_li
F&N	ép_ph_và_nờ
Chunghwa Telecom (CHT)	chung_hoa tê_lê_côm (xê_hát_tê)
ICBC Asia	i_xê_bê_xê a_xi_a
Tag Heuer	tác hoi_ơ
China Merchants Bank	chai_nờ mơ_chừn_x banh
Giant	giai_ừn
Old Town	âu tao
Hankook	han_cúc
Taiwan Beer	tai_oan bia
Bulgari	bun_ga_ri
Kumkang	cum_cang
LIC	lờ_i_xê
Kasikorn Bank	ca_xi_con banh
Fisher & Paykel	phít_sơ và pây_ken
Sensodyne	xen_xô_đai
Yokohama	y_ô_cô_ha_ma
Brother	b_ra_dờ
British Petroleum (BP)	b_rít_tít_x pê_trô_li_ừm (bi_pi)
Hyatt	hi_át
Supau	xu_pau
CPC (China)	xi_pi_xi (chai_nờ)
Moccona	móc_cô_na
Powerade	pao_ờ_rết
Cafe Coffee Day	cà_phê cóp_phi đây
Advance Info Service	ất_van in_pho xơ_vít
MSN	mờ_ét_x_nờ
Singha	xing_ha
Titan	ti_tan
Chow Tai Fook	châu tai phúc
Lawson	lo_xơn
SK	ét_x_ka
DTAC	đê_tê_a_xê
